CODIGO              FECHA          DNI       CANTIDAD SOLICITADA
TZY-323           20230821       90365520        1
JXD-139           20230821       77191257        5
CSZ-863           20230821       69639726        3
CIM-038           20230821       11602775        4
ZEX-027           20230821       32565207        6
VDD-853           20230821       49087435        2
TYF-885           20230821       49087435        1
VVS-017           20230821       45877001        4
EJW-346           20230821       79140840        5
QHC-492           20230821       98140264        4
WZD-331           20230821       91897732        1
KWP-672           20230821       90365520        6
QFR-958           20230821       71984468        5
SJQ-827           20230821       49087435        1
VXS-438           20230821       15210391        1
IHG-413           20230821       17913944        4
VRR-793           20230821       17972674        1
PVZ-181           20230821       90237332        5
FLJ-040           20230821       49087435        6
UWA-476           20230821       37110873        2
FQG-293           20230821       25171011        1
TMJ-043           20230821       85949265        6
QFP-254           20230821       85949265        2
ZAF-449           20230821       26233063        2
OPJ-039           20230821       43043986        3
OPT-996           20230821       29337157        3
UWA-476           20230821       38913831        3
PJG-338           20230821       83505958        3
TMN-884           20230821       11602775        6
WLL-607           20230821       45783712        3
JJN-837           20230821       17913944        5
HFM-021           20230821       81114108        4
UTN-601           20230821       81114108        5
XZR-640           20230821       55552996        1
VCL-867           20230821       50365593        1
YUQ-590           20230821       57690875        5
TXM-139           20230821       32904023        3
JFC-432           20230821       40348917        3
TMJ-043           20230821       40112594        3
YJD-279           20230821       40348917        2
DUG-251           20230821       44229880        5
TZY-323           20230821       62566305        4
SAM-013           20230821       58187172        2
EBI-299           20230821       71463316        6
HLR-109           20230821       15561764        4
VXS-438           20230821       89429489        1
RAH-420           20230821       95161027        5
BWD-036           20230822       77484838        6
VJI-529           20230822       32821689        1
LWG-915           20230822       27912250        4
WZD-331           20230822       26290971        5
CIM-038           20230822       73535476        3
BTO-226           20230822       15210391        5
KCO-488           20230822       35584593        1
QTK-083           20230822       25171011        6
TMJ-043           20230822       78078115        3
PQH-935           20230822       78757121        4
YZD-580           20230822       38913831        1
JYQ-045           20230822       94080926        5
QRC-609           20230822       87800799        1
XLF-273           20230822       77191257        6
ICX-503           20230822       66409237        5
HFC-845           20230822       52097922        2
DFF-034           20230822       78078115        2
HFC-845           20230822       76388967        6
YYK-309           20230822       64394265        6
ISU-815           20230822       84165595        4
TZY-323           20230822       77484838        4
RSE-049           20230822       78757121        3
OPT-996           20230822       71984468        2
ZXK-295           20230822       93845419        2
YUQ-590           20230822       43488351        5
AVM-258           20230822       80048864        3
MMA-577           20230822       36008913        6
RSE-049           20230822       78078115        5
QHC-492           20230822       89298238        3
OQI-373           20230822       37110873        2
NSR-955           20230822       86241107        3
QTK-083           20230822       27912250        1
XZR-640           20230822       15561764        6
GXF-122           20230822       20864087        1
LWG-915           20230822       16151792        3
SPR-580           20230822       95161027        2
OTW-288           20230823       43488351        6
PFD-286           20230823       81114108        3
LDR-510           20230823       87813843        6
VXS-438           20230823       93160528        5
ZVA-180           20230823       50365593        6
MTF-868           20230823       12663268        5
BCN-855           20230823       81114108        4
OFS-384           20230823       29337157        6
PJG-338           20230823       78078115        2
TKM-141           20230823       93160528        3
SAM-013           20230823       79372768        1
OTW-288           20230823       31193794        1
AQS-362           20230823       55552996        1
YYU-726           20230823       76388967        6
PFD-286           20230823       89298238        2
OFS-384           20230823       22280452        5
BRD-969           20230823       79464412        6
QFP-254           20230823       23928045        2
QHC-492           20230823       89148118        6
QTK-083           20230823       89298238        1
JDC-028           20230823       77642521        2
CNQ-172           20230823       89429489        1
VRR-793           20230823       83236386        1
LWG-915           20230823       73185299        5
YOT-530           20230823       69324480        3
QUU-384           20230823       78922174        2
QFP-254           20230823       64394265        5
XBD-314           20230823       90237332        4
BWD-036           20230824       50375303        6
LDR-510           20230824       45783712        1
JXD-139           20230824       79464412        4
SSD-176           20230824       26290971        3
VJI-529           20230824       35565959        5
CSZ-863           20230824       50365593        3
QRC-609           20230824       25171011        3
AHB-459           20230824       26976877        5
OXP-732           20230824       79901434        2
JFC-432           20230824       43877279        4
TMN-884           20230824       88956889        1
JJN-837           20230824       87800799        5
BCK-361           20230824       97403853        5
AVM-258           20230824       73914283        4
FEG-454           20230824       59162728        4
OWN-701           20230824       45877001        5
OTW-288           20230824       15210391        3
VZV-827           20230824       54761731        5
TYF-885           20230824       95015539        2
VVS-017           20230824       33713901        6
AFL-718           20230824       89148118        5
SSD-176           20230824       46462527        6
JDC-028           20230824       45828535        2
OBI-353           20230824       42928709        6
RDT-761           20230824       78078115        1
FVB-607           20230824       13245501        1
ZVA-180           20230824       11602775        2
ISU-815           20230824       86402303        3
GLC-370           20230824       12663268        3
AWB-345           20230824       24995742        4
OQI-373           20230824       36380447        5
KCO-488           20230824       85949265        6
ZWF-661           20230825       96258632        5
